node_id,node_order_verified,corridor_km,latitude,longitude,node_id_unique,corridor_km_present,corridor_km_strictly_increasing,node_order_verified_unique,latitude_present,longitude_present,row_status
N001,1,0.0,1.7873096,109.7447799,True,True,True,True,True,True,PASS
N007,2,2.123904255285224,1.7997398,109.7588702,True,True,True,True,True,True,PASS
N002,3,2.621919858337097,1.770901,109.7486723,True,True,True,True,True,True,PASS
N003,4,3.1447807502504226,1.761542,109.7530299,True,True,True,True,True,True,PASS
N005,5,4.096686477871942,1.8139109,109.7579051,True,True,True,True,True,True,PASS
N006,6,4.2057040543081445,1.7536202,109.7581804,True,True,True,True,True,True,PASS
N004,7,5.047338885357793,1.8194398,109.7540246,True,True,True,True,True,True,PASS
N008,8,5.262200281162554,1.7463695,109.7643438,True,True,True,True,True,True,PASS
N009,9,7.35605270931734,1.7314417,109.7716076,True,True,True,True,True,True,PASS
N010,10,9.53088325819207,1.7152344,109.7793587,True,True,True,True,True,True,PASS
N011,11,11.473154726028412,1.6975445,109.7838185,True,True,True,True,True,True,PASS
N012,12,14.608412985202968,1.6751775,109.7987819,True,True,True,True,True,True,PASS
N013,13,17.612499527731263,1.6561428,109.8166032,True,True,True,True,True,True,PASS
N014,14,20.814444791049475,1.6526017,109.8406921,True,True,True,True,True,True,PASS
N015,15,22.824598757448747,1.6498103,109.8585321,True,True,True,True,True,True,PASS
N016,16,23.780360809270967,1.6494519,109.8677619,True,True,True,True,True,True,PASS
N017,17,25.86307746549304,1.6379685,109.8794674,True,True,True,True,True,True,PASS
N019,18,26.976089119669027,1.632979,109.8876464,True,True,True,True,True,True,PASS
N018,19,29.31971951676501,1.6141425,109.8871575,True,True,True,True,True,True,PASS
N021,20,30.35492301830835,1.6050427,109.8906981,True,True,True,True,True,True,PASS
N024,21,31.31786507583042,1.5969046,109.8931244,True,True,True,True,True,True,PASS
N023,22,33.38308521529766,1.5778976,109.8924009,True,True,True,True,True,True,PASS
N020,23,34.434698937619736,1.5689673,109.890617,True,True,True,True,True,True,PASS
N022,24,35.45871812128425,1.5596337,109.8921453,True,True,True,True,True,True,PASS
N025,25,36.546405380086206,1.5567281,109.9006688,True,True,True,True,True,True,PASS
N026,26,39.60091171429056,1.53629,109.9126218,True,True,True,True,True,True,PASS
N028,27,40.54491840291815,1.5295464,109.9178467,True,True,True,True,True,True,PASS
N027,28,42.67182739539174,1.51123,109.9161086,True,True,True,True,True,True,PASS
N029,29,43.685163890945546,1.5031119,109.9193616,True,True,True,True,True,True,PASS
N030,30,46.78520314818686,1.4914849,109.9426472,True,True,True,True,True,True,PASS
N031,31,48.98040729264602,1.4849095,109.9618145,True,True,True,True,True,True,PASS
N032,32,51.17623385392567,1.4773043,109.9795256,True,True,True,True,True,True,PASS
N033,33,53.261259251397945,1.4776586,109.9979118,True,True,True,True,True,True,PASS
N034,34,55.23431081829603,1.4805996,110.0161518,True,True,True,True,True,True,PASS
N035,35,57.35093737793271,1.4866436,110.033378,True,True,True,True,True,True,PASS
N036,36,60.459196329370975,1.487371,110.0590137,True,True,True,True,True,True,PASS
N037,37,61.47064948907772,1.4848985,110.0672545,True,True,True,True,True,True,PASS
N038,38,63.548899434235565,1.4848171,110.084423,True,True,True,True,True,True,PASS
N039,39,66.50359699706277,1.48132,110.1100909,True,True,True,True,True,True,PASS
N040,40,69.62325382825645,1.4586127,110.1235377,True,True,True,True,True,True,PASS
N041,41,72.75874458655605,1.4516388,110.1477638,True,True,True,True,True,True,PASS
N042,42,75.90546793404525,1.4663591,110.1707118,True,True,True,True,True,True,PASS
N043,43,77.93039002498645,1.4765525,110.1858841,True,True,True,True,True,True,PASS
N044,44,79.95801054147343,1.4826915,110.2031678,True,True,True,True,True,True,PASS
N045,45,83.03959097604945,1.486576,110.2297698,True,True,True,True,True,True,PASS
N046,46,85.04621335554685,1.4974106,110.2443218,True,True,True,True,True,True,PASS
N047,47,87.18085154600853,1.5036311,110.2616483,True,True,True,True,True,True,PASS
N048,48,90.11917116827438,1.5084213,110.2868545,True,True,True,True,True,True,PASS
N049,49,92.38074011890104,1.5115854,110.3058731,True,True,True,True,True,True,PASS
N050,50,94.40460650324364,1.5172023,110.3233483,True,True,True,True,True,True,PASS
N051,51,95.6899949648003,1.5208512,110.3347315,True,True,True,True,True,True,PASS
